x,y,z,range,velocity,angle,power_abs
1.33E-17,0.218,0,0.218,0.35,90,0.008544922
1.33E-17,0.218,0,0.218,66.5,90,0.006851196
1.33E-17,0.218,0,0.218,66.85,90,0.006668091
1.33E-17,0.218,0,0.218,0,90,0.00617981
1.33E-17,0.218,0,0.218,2.45,90,0.008453369
0.218,0,0,0.218,0.35,0,0.00479126
1.33E-17,0.218,0,0.218,1.4,90,0.00718689
1.33E-17,0.218,0,0.218,1.75,90,0.009963989
2.00E-17,0.327,0,0.327,1.75,90,0.007751465
1.33E-17,0.218,0,0.218,2.1,90,0.010574341
1.33E-17,0.218,0,0.218,2.45,90,0.008544922
0.327,0,0,0.327,0,0,0.003555298
1.33E-17,0.218,0,0.218,1.05,90,0.006027222
2.00E-17,0.327,0,0.327,1.05,90,0.005065918
1.33E-17,0.218,0,0.218,1.4,90,0.008636475
2.00E-17,0.327,0,0.327,1.4,90,0.006774902
1.33E-17,0.218,0,0.218,1.75,90,0.009857178
2.00E-17,0.327,0,0.327,1.75,90,0.007446289
1.33E-17,0.218,0,0.218,2.1,90,0.008911133
0.218,0,0,0.218,0,0,0.004989624
0.327,0,0,0.327,0,0,0.005004883
1.33E-17,0.218,0,0.218,1.05,90,0.0078125
2.00E-17,0.327,0,0.327,1.05,90,0.006668091
1.33E-17,0.218,0,0.218,1.4,90,0.008804321
2.00E-17,0.327,0,0.327,1.4,90,0.006729126
2.00E-17,0.327,0,0.327,0.35,90,0.005432129
1.33E-17,0.218,0,0.218,0.7,90,0.007263184
2.00E-17,0.327,0,0.327,0.7,90,0.006729126
1.33E-17,0.218,0,0.218,1.05,90,0.008209229
2.00E-17,0.327,0,0.327,1.05,90,0.006729126
2.00E-17,0.327,0,0.327,0.35,90,0.006027222
1.33E-17,0.218,0,0.218,0.7,90,0.008361816
2.00E-17,0.327,0,0.327,0.7,90,0.007293701
0.218,0,0,0.218,0,0,0.008560181
1.33E-17,0.218,0,0.218,0.35,90,0.009185791
2.00E-17,0.327,0,0.327,0.35,90,0.006607056
0.218,0,0,0.218,0,0,0.011901855
0.327,0,0,0.327,0,0,0.006835938
1.33E-17,0.218,0,0.218,65.8,90,0.009979248
1.33E-17,0.218,0,0.218,66.15,90,0.010604858
2.00E-17,0.327,0,0.327,66.15,90,0.007293701
1.33E-17,0.218,0,0.218,66.5,90,0.00932312
2.00E-17,0.327,0,0.327,66.5,90,0.006774902
1.33E-17,0.218,0,0.218,66.85,90,0.008865356
2.00E-17,0.327,0,0.327,66.85,90,0.005630493
1.33E-17,0.218,0,0.218,0,90,0.009811401
2.00E-17,0.327,0,0.327,0,90,0.006271362
1.33E-17,0.218,0,0.218,0.35,90,0.010314941
0.218,0,0,0.218,0.35,0,0.011520386
0.327,0,0,0.327,0.35,0,0.006393433
1.33E-17,0.218,0,0.218,0.35,90,0.009857178
1.33E-17,0.218,0,0.218,0.7,90,0.013320923
1.33E-17,0.218,0,0.218,1.05,90,0.014556885
1.33E-17,0.218,0,0.218,65.8,90,0.014160156
1.33E-17,0.218,0,0.218,66.15,90,0.013275146
2.00E-17,0.327,0,0.327,66.15,90,0.008529663
1.33E-17,0.218,0,0.218,66.5,90,0.011993408
2.00E-17,0.327,0,0.327,66.5,90,0.008270264
1.33E-17,0.218,0,0.218,66.85,90,0.011703491
0.324435255,0.040875,0,0.327,66.85,7.180755781,0.007858276
1.33E-17,0.218,0,0.218,0,90,0.011520386
0.321200525,0.0613125,0,0.327,0,10.80692287,0.007080078
1.33E-17,0.218,0,0.218,0.35,90,0.010284424
0.218,0,0,0.218,0.35,0,0.007583618
1.33E-17,0.218,0,0.218,0.7,90,0.013717651
1.33E-17,0.218,0,0.218,1.05,90,0.017486572
2.00E-17,0.327,0,0.327,1.05,90,0.009231567
1.33E-17,0.218,0,0.218,65.8,90,0.017028809
2.00E-17,0.327,0,0.327,65.8,90,0.009521484
1.33E-17,0.218,0,0.218,66.15,90,0.013366699
2.00E-17,0.327,0,0.327,66.15,90,0.008346558
1.33E-17,0.218,0,0.218,66.5,90,0.009414673
2.00E-17,0.327,0,0.327,66.5,90,0.007217407
0.192566131,0.1021875,0,0.218,66.85,27.95318688,0.009902954
0.215322424,0.0340625,0,0.218,0,8.989299345,0.011611938
1.33E-17,0.218,0,0.218,0.35,90,0.010040283
0.218,0,0,0.218,0,0,0.011978149
0.218,0,0,0.218,0.35,0,0.009750366
0.327,0,0,0.327,0.35,0,0.004959106
1.33E-17,0.218,0,0.218,0.35,90,0.008102417
1.33E-17,0.218,0,0.218,0.7,90,0.012832642
2.00E-17,0.327,0,0.327,0.7,90,0.007568359
1.33E-17,0.218,0,0.218,1.05,90,0.016784668
2.00E-17,0.327,0,0.327,1.05,90,0.009750366
1.33E-17,0.218,0,0.218,65.8,90,0.017181396
2.00E-17,0.327,0,0.327,65.8,90,0.009353638
1.33E-17,0.218,0,0.218,66.15,90,0.011962891
0.215322424,0.0340625,0,0.218,0,8.989299345,0.011566162
0.212720244,0.0476875,0,0.218,0.35,12.63562509,0.010543823
0.21629017,0.02725,0,0.218,1.4,7.180755781,0.004638672
1.33E-17,0.218,0,0.218,1.75,90,0.005645752
0.218,0,0,0.218,0,0,0.009307861
1.33E-17,0.218,0,0.218,0.35,90,0.009033203
1.33E-17,0.218,0,0.218,0.7,90,0.011169434
1.33E-17,0.218,0,0.218,1.05,90,0.013031006
1.33E-17,0.218,0,0.218,65.8,90,0.014602661
2.00E-17,0.327,0,0.327,65.8,90,0.00769043
1.33E-17,0.218,0,0.218,66.15,90,0.013702393
1.33E-17,0.218,0,0.218,66.5,90,0.010284424
0.214133683,0.040875,0,0.218,66.85,10.80692287,0.010879517
0.21629017,0.02725,0,0.218,0,7.180755781,0.013046265
0.212720244,0.0476875,0,0.218,0.35,12.63562509,0.011016846
0.218,0,0,0.218,0,0,0.013534546
0.21629017,0.02725,0,0.218,65.8,7.180755781,0.010482788
1.33E-17,0.218,0,0.218,66.15,90,0.014587402
0.21629017,0.02725,0,0.218,66.5,7.180755781,0.016479492
0.21629017,0.02725,0,0.218,66.85,7.180755781,0.017074585
0.214133683,0.040875,0,0.218,0,10.80692287,0.015716553
0.215322424,0.0340625,0,0.218,0.35,8.989299345,0.012619019
0.21629017,0.02725,0,0.218,1.75,7.180755781,0.009231567
0.21629017,0.02725,0,0.218,2.1,7.180755781,0.009124756
1.33E-17,0.218,0,0.218,2.45,90,0.005523682
0.218,0,0,0.218,0,0,0.007751465
0.218,0,0,0.218,0.35,0,0.008255005
0.214133683,0.040875,0,0.218,0,10.80692287,0.007263184
0.316616389,0.08175,0,0.327,0,14.47751219,0.003845215
0.21629017,0.02725,0,0.218,66.15,7.180755781,0.012863159
0.21629017,0.02725,0,0.218,66.5,7.180755781,0.016723633
0.21629017,0.02725,0,0.218,66.85,7.180755781,0.018600464
0.21629017,0.02725,0,0.218,0,7.180755781,0.017242432
0.319080366,0.07153125,0,0.327,0,12.63562509,0.007263184
